CECATI,Especialidad,Clave,Año,Modalidad
99,Informática,23-O-2019A,2022,Mixta
108,Administración,25-A-2019A,2022,Presencial
108,"Doblaje, Locución y Conducción en Radio, Cine y Televisión",22-DLCRCT-2017A,2022,Presencial
108,Fotografía,22-FO-2011C,2017,Presencial
108,Producción de Radio y Televisión,22-PRT-2019A,2022,Presencial
108,Uso de la Lengua Inglesa en Diversos Contextos,22-ULIDC-2019A,2022,Presencial
108,Informática,23-O-2019A,2022,Mixta
127,Administración,25-A-2019A,2022,Presencial
127,Alimentos y Bebidas,30-AB-2018A,2022,Presencial
127,Aplicación de Normas y Procedimientos Contables y Fiscales,25-ANPCFEE-2017A,2022,Presencial
127,"Artesanías con Pastas, Pinturas y Acabados",14-APPA-2017A,2022,Presencial
127,Artesanías Metálicas,14-AM-2017A,2022,Presencial
127,Asistencia Ejecutiva,25-AE-2017A,2022,Presencial
127,Confección de Prendas de Vestir,13-CIR-2022A,2023,Mixta
127,Cuidados Cosmetológicos Faciales y Corporales,29-C-2019A,2022,Presencial
127,Diseño de Moda,13-DM-2019A,2022,Presencial
127,Diseño y Fabricación de Muebles de Madera,16-DFMM-2019A,2022,Presencial
127,Elaboración y Restauración de Artesanías de Madera,14-ERAM-2019A,2022,Presencial
127,Estilismo y Diseño de Imagen,29-EDI-2019A,2022,Presencial
127,Expresión Gráfica Digital,22-EGD-2017A,2022,Presencial
127,Soporte a Instalaciones Eléctricas y Motores Eléctricos,04-SIEME-2019A,2022,Presencial
127,Soporte Técnico a Equipos y Sistemas Computacionales,11-STESC-2019A,2022,Presencial
127,Uso de la Lengua Inglesa en Diversos Contextos,22-ULIDC-2019A,2022,Presencial
127,Informática,23-O-2019A,2022,Mixta
128,Administración,25-A-2019A,2022,Presencial
128,Alimentos y Bebidas,30-AB-2018A,2022,Presencial
128,Asistencia Ejecutiva,25-AE-2017A,2022,Presencial
128,Auxiliar en Enfermería,27-AE-2018A,2022,Presencial
128,Confección de Prendas de Vestir,13-CIR-2022A,2023,Mixta
128,Cuidados Cosmetológicos Faciales y Corporales,29-C-2019A,2022,Presencial
128,Diseño de Moda,13-DM-2019A,2022,Presencial
128,Diseño y Fabricación de Muebles de Madera,16-DFMM-2019A,2022,Presencial
128,Elaboración y Restauración de Artesanías de Madera,14-ERAM-2019A,2022,Presencial
128,Estilismo y Diseño de Imagen,29-EDI-2019A,2022,Presencial
128,Mantenimiento a Equipos y Sistemas Electronicos,04-SIEME-2019A,2022,Presencial
128,Soporte Técnico a Equipos y Sistemas Computacionales,11-STESC-2019A,2022,Presencial
128,Uso de la Lengua Inglesa en Diversos Contextos,22-ULIDC-2019A,2022,Presencial
128,Asistencia Educativa Inicial y Preescolar,26-AE-2019A,2022,Presencial
128,Informática,23-O-2019A,2022,Mixta
152,Administración,25-A-2019A,2022,Presencial
152,Alimentos y Bebidas,30-AB-2018A,2022,Presencial
152,Aplicación de Normas y Procedimientos Contables y Fiscales,25-ANPCFEE-2017A,2022,Presencial
152,Artes Gráficas,24-AG-2019A,2022,Presencial
152,Artesanías con Fibras Textiles,4-AFT-2017A,2022,Presencial
152,"Artesanías con Pastas, Pinturas y Acabados",14-APPA-2017A,2022,Presencial
152,Asistencia Ejecutiva,25-AE-2017A,2022,Presencial
152,Atención Integral a Personas Adultas Mayores,28-AIPAM-2022A,2023,Presencial
152,Atención Integral a Personas con Discapacidad,28-AIPD-2018A,2022,Presencial
152,Cuidados Cosmetológicos Faciales y Corporales,29-C-2019A,2022,Presencial
152,Diseño de Moda,13-DM-2019A,2022,Presencial
152,Estilismo y Diseño de Imagen,29-EDI-2019A,2022,Presencial
152,Mantenimiento a Equipos y Sistemas Electronicos,04-SIEME-2019A,2022,Presencial
152,Soporte a Instalaciones Eléctricas y Motores Eléctricos,04-SIEME-2019A,2022,Presencial
152,Soporte Técnico a Equipos y Sistemas Computacionales,11-STESC-2019A,2022,Presencial
